dialogue_id,dialogue_context,model_id_a,response_a,model_id_b,response_b,sel,selt
Quinn was trying to let their friend know how they felt. Quinn defined their feelings in simple terms.,"[Speaker 1] I feel hungry.<br>[Speaker 2] Yea, its almost dinner time.<br>[Speaker 1] I haven't eaten in about 6 hours.<br>[Speaker 2] Me neither. Its time to eat.<br>[Speaker 1] Well my stomach is growling.",doctor-0125,How about we go out for dinner then?,chatgpt-35-latentselection-0125,"Are you thinking of ordering something in, or do you want to go out for a quick bite to eat?",att-defB,to the right
Riley forgot to set Aubrey's alarm but woke them up on time when they woke up and remembered.,"[Speaker 1] I'm glad you remembered to wake me up, since you forgot to set the alarm",doctor-0125,"No problem, I know how hard it can be to wake up on time.",chatgpt-35-latentselection-0125,No problem! I'm glad I could help out. Do you need any help getting ready or anything?,att-defB,to the right
"Kai exceeded expectations on the date and brought a limo, flowers, and chocolates.","[Speaker 1] I went all out for this date.<br>[Speaker 2] Really what did you do?<br>[Speaker 1] Got a limo, flowers, and chocolates.",chatgpt-35-latentselection-0125,That's really sweet of you! I'm impressed by all the effort you put into making the date special. It sounds like you really went all out to create a memorable experience.,doctor-0125,Sounds like you really went all out for the date!,att-defA,to the left
Quinn met his girlfriend for the first time and fell in love right when he saw her.,"[Speaker 1] I didn't really think love at first sight happened.<br>[Speaker 2] Now your telling me it did?<br>[Speaker 1] Yes, I knew the moment I saw here that I loved her.",doctor-0125,Really? What was it about her that made you feel that way?,chatgpt-35-latentselection-0125,That's really sweet. It must have been an incredibly powerful moment for you. How did she react when you told her?,att-defB,to the right
Taylor solved the nation's debt problem with a genius accounting move that was not seen before.,[Speaker 1] I'm glad I was able to save the nation's debt problem.<br>[Speaker 2] How did you do that?<br>[Speaker 1] I used a genius accounting move that had not been seen before.,chatgpt-35-latentselection-0125,That's incredible! Your ability to think innovatively is truly commendable. Have you considered sharing this accounting move with other nations facing similar challenges?,doctor-0125,Who helped you with this miracle?,att-defA,to the left
"Carson is a car salesman, and yesterday they struck another deal and made a lot of money.","[Speaker 1] I made a lot of money!<br>[Speaker 2] When and how?<br>[Speaker 1] Yesterday, I'm in sales.<br>[Speaker 2] What kind of sales.<br>[Speaker 1] care sales.",doctor-0125,Do you plan on making more money soon?,chatgpt-35-latentselection-0125,That's impressive! How did you manage to make such a successful sale in care products?,att-defB,to the right
Jan has had enough of it. Jan decides to face their fears and successfully climbs higher than they have ever been before.,[Speaker 1] I think we have come far already. Let's get back to the base.<br>[Speaker 2] No way. We are close to the top of the mountain.<br>[Speaker 1] You know that I am scared of heights.,doctor-0125,"I understand your fear, but we can do this together. Let's take it one step at a time.",chatgpt-35-latentselection-0125,"Don't worry, I understand your fear of heights. Let's take it slow and head back down together whenever you're ready.",att-defB,to the right
"Sasha wanted to get a puppy, but her mother was allergic to dogs.","[Speaker 1] I spent several hours playing with the puppies at the shelter yesterday.<br>[Speaker 2] Did you find one to adopt?<br>[Speaker 1] I did, but it turns out Mom is allergic to dogs. She flared up at the dog hair on my clothes.",doctor-0125,That's disappointing. I hope you'll be able to find another way to spend time with dogs in the future.,chatgpt-35-latentselection-0125,That's unfortunate about your mom's allergies. Do you think there's a way for you to spend time with the puppies without bringing home any dog hair on your clothes?,att-defB,to the right
Kendall wanted to have a great birthday party for her friend so she bought the cake.,"[Speaker 1] I am throwing a birthday party for my friend.<br>[Speaker 2] That's nice of you. Is it a surprise party?<br>[Speaker 1] No, she knows about it. She wanted to keep it low cost.<br>[Speaker 2] Why, is she is paying for it herself?<br>[Speaker 1] I don't want her to.  I really want it to be very nice, so I got a really good cake.",doctor-0125,What type of cake did you get for the party?,chatgpt-35-latentselection-0125,That's thoughtful of you to plan a nice party for your friend. I hope she appreciates all the effort you're putting in to make it special. What kind of cake did you get for her?,att-defB,to the right
Aubrey saw Kai and her friends when they were broken down on the side of the road.,[Speaker 1] It was so wonderful to see Aubrey driving by!<br>[Speaker 2] Why is that?<br>[Speaker 1] My car broke down and I had to pull over to the side of the road.<br>[Speaker 2] And Aubrey was driving by and spotted you?<br>[Speaker 1] That’s correct. She called an emergency number and drove me home.,chatgpt-35-latentselection-0125,Aubrey sounds like a real lifesaver! It's great to have friends who are there for you in times of need. I hope your car trouble wasn't too serious.,doctor-0125,That was lucky! I'm glad Aubrey was there to help you out.,att-defA,to the left
"After several days of arguing with the boss, Bailey finally was exhausted. Bailey let it be.","[Speaker 1] I feel like nothing I say ever gets taken seriously.<br>[Speaker 2] Why, what happened? Something at work again?<br>[Speaker 1] Yeah. My boss keeps telling me I am doing something wrong when I know I'm not! She keeps telling me what to do when the work is supposed to be subjective!<br>[Speaker 2] Ah, well I guess it would be wise to just listen to her from now on. Don't waste your breath and put your job on the line. It's not worth it.<br>[Speaker 1] I know. I'm just exhausted from it all so I'm letting it go now. I'm just going to do what she wants me to do and turn in boring, mediocre work.",doctor-0125,"Hang in there, things will get better. Don't lose hope, keep pushing through even when it gets tough.",chatgpt-35-latentselection-0125,I'm sorry to hear that. It sounds really frustrating to feel like your efforts aren't being recognized. Have you tried talking to your boss about your perspective on the work and why you feel confident in your approach?,att-defB,to the right
Jesse had some medicine left over from when they were sick. Taylor gave Jesse's medicine to them.,[Speaker 1] Taylor was sick.  I gave him my leftover medicine from when I was sick.,chatgpt-35-latentselection-0125,That was really kind of you to share your medicine with Taylor. I hope he's feeling better now.,doctor-0125,How is Taylor feeling now?,att-defA,to the left
Robin wrote a story about the local plant. It was letting toxic waste into the water way and poisoning drinking water.,"[Speaker 1] Did you finish your story for the paper? I think the drafts were due today.<br>[Speaker 2] Yes, but I don't think my story is that great. I wrote about the lack of stop signs in the neighborhoods by the school. What is your story on?.<br>[Speaker 1] I wrote about how the local plant is releasing toxic waste in the water and poisoning the drinking water for the surrounding neighborhoods.",chatgpt-35-latentselection-0125,That's a really important story you're covering. It's crucial to bring awareness to these kinds of issues that impact the health and safety of our community. Have you found any evidence to support your claims about the toxic waste being released?,doctor-0125,That sounds like a serious issue.,att-defA,to the left
Quinn also turned the page when the narrator did so he could follow along with the story.,[Speaker 1] I have to turn the page now<br>[Speaker 2] I am not done reading yet.<br>[Speaker 1] The narrator just turned the page too.,chatgpt-35-latentselection-0125,What do you think of the book so far? Would you recommend it to others?,doctor-0125,I wonder what will happen next in the story.,att-defA,to the left
Austin was homeless and broke. Austin made money washing dishes.,"[Speaker 1] Hi, I would like to apply for a job.<br>[Speaker 2] Great, we are actually hiring for a dishwasher position right now. It is yours if you want it.<br>[Speaker 1] That would be great! When do I start?<br>[Speaker 2] Tomorrow at noon!<br>[Speaker 1] Excellent, I will be here. What is the pay?",chatgpt-35-latentselection-0125,I'm glad you're interested! We can discuss the details of the pay when you come in tomorrow. Looking forward to having you on the team!,doctor-0125,The pay is $30 per day.,att-defA,to the left
Remy couldn't take how dirty Jordan's garage was so she decided to clean out Jordan's garage.,[Speaker 1] I don't get how you can live in a place that has such a dirty garage.,doctor-0125,"Well, I just don't mind a little mess.",chatgpt-35-latentselection-0125,I guess I've just never been too bothered by it. I'll try to tidy up a bit if it's really bothering you.,att-defB,to the right
"During the speech, Remy gave Casey's interpretation of the situation to the guests.","[Speaker 1] I was at the meeting and my partner on the program didn't show up, so I had to give Casey's interpretation of the situation to the guests on behalf of Casey.",chatgpt-35-latentselection-0125,"That sounds like a tough situation to be in. Did Casey give you a heads-up about not being able to make it to the meeting, or did you find out last minute?",doctor-0125,That must have been a challenging situation for you.,att-defA,to the left
Jordan and Tracy was married and struggling financially. Jordan told Tracy to get a job.,[Speaker 1] I think Tracy is going to leave me.<br>[Speaker 2] Why would you say a thing like that?<br>[Speaker 1] We've struggled financially since day one of the marriage. And I just can't carry all the stress of being the only one working. So I told her she needed to get a job.,chatgpt-35-latentselection-0125,Have you both talked about how you're feeling? Maybe there are other ways to address the financial struggles together without putting pressure solely on Tracy to get a job. It's important to communicate openly and find solutions that work for both of you.,doctor-0125,How did Tracy react when you told her she needed to get a job?,att-defA,to the left
"Casey loved politics, so she wanted to be class president.",[Speaker 1] I'd like to run as class president.<br>[Speaker 2] That is a hard job. Are you sure you can handle it?<br>[Speaker 1] I'm sure I can. It will be good practice for my future.<br>[Speaker 2] What would you like to be after we graduate?<br>[Speaker 1] I would like to go into politics. I find this very interesting.,doctor-0125,What specifically interests you about politics?,chatgpt-35-latentselection-0125,That's ambitious of you! Have you started thinking about your campaign strategy yet? Maybe you can focus on highlighting the changes you want to bring to the school.,att-defB,to the right
Skylar was a friend of Riley. Riley was moving to a different state.,[Speaker 1] Riley I am really going to miss you!<br>[Speaker 2] I know I'm going to miss you too!<br>[Speaker 1] You are like my best friend are you sure you have to move?,chatgpt-35-latentselection-0125,"I'm really going to miss you too! I wish I didn't have to go, but this opportunity is just too good to pass up. Let's make the most of the time we have left together and plan something fun before I leave.",doctor-0125,"I wish I didn't have to move, but it's something I have to do.",att-defA,to the left
Skylar was always the first to class because she loved school so she arrived extra early and took a seat in the front row.,"[Speaker 1] Hello, I saved you a spot next to me.<br>[Speaker 2] You must have got here early in the morning to get me a spot.<br>[Speaker 1] I did, I was the first one in, I love school so much.",chatgpt-35-latentselection-0125,That's really thoughtful of you to save me a spot! It sounds like you're really committed to school. What's your favorite subject?,doctor-0125,"That's so thoughtful of you, thanks for saving me a spot.",att-defA,to the left
"Jesse shopped one day. The weather was cold, rainy, and dark. So it was a perfect day to spend inside at the local mall.","[Speaker 1] Oh my gosh. The weather outside is just terrible.<br>[Speaker 2] I know. I stayed in all day. What have you been up to?<br>[Speaker 1] I was going to stay in, but I took a trip to the mall.",chatgpt-35-latentselection-0125,What did you end up getting at the mall? Anything good?,doctor-0125,Did you end up getting caught in the rain while you were out?,att-defA,to the left
Alex fought with his parents a lot. Alex packed up his car and never looked back.,"[Speaker 1] Hey man, I moved out of my parents place. It was finally time.<br>[Speaker 2] That's good. Might be good for a little change of scenery.<br>[Speaker 1] We never got along, we were fighting a lot.",doctor-0125,"I'm sorry to hear that. Hopefully, the new place brings some peace for you.",chatgpt-35-latentselection-0125,"That must have been tough. Hopefully, being on your own will bring you some peace and freedom to live life on your own terms.",att-defB,to the right
Carson had been searching for employment since graduation. They recently began a new job.,[Speaker 1] I can't believe how long it took me to find a job. I am so thankful.<br>[Speaker 2] I know what you mean. When we were in school finding work seemed so easy.<br>[Speaker 1] They lied. I interviewed daily and I'm just finding work.,doctor-0125,"Keep your head up, something will come along soon.",chatgpt-35-latentselection-0125,"I'm glad to hear you finally found something! Job searching can be really tough, but your persistence paid off in the end. What kind of work did you end up finding?",att-defB,to the right
"After a long day at work and eating dinner, Bailey fell asleep on the couch.",[Speaker 1] thanks for letting me sleep last night<br>[Speaker 2] you looked so peaceful I didn't want to wake you<br>[Speaker 1] it was a real long day and that dinner was so good,chatgpt-35-latentselection-0125,I'm glad you enjoyed the dinner and got some rest. It was nice to see you relax after such a long day. Do you want to watch a movie together later to wind down even more?,doctor-0125,I'm glad you enjoyed the dinner.,att-defA,to the left
"After a long night of drinking and feeling exhausted, Ash got home.","[Speaker 1] I need to get to bed asap. I've got to sleep.<br>[Speaker 2] You look terrible!<br>[Speaker 1] Yeah, I've been drinking all night and I can barely keep my eyes open now. I'm going straight to bed.",chatgpt-35-latentselection-0125,"I hope you get some good rest. Drinking too much can really take a toll on your body, so take care of yourself. Goodnight!",doctor-0125,"You should really take care of yourself, make sure to drink plenty of water before you go to bed.",att-defA,to the left
Robin gave them money for lunch. They liked to buy from the cafeteria.,"[Speaker 1] I had to give them all money for lunch, cost a me a fortune!",chatgpt-35-latentselection-0125,"Maybe next time, you can suggest a more budget-friendly spot for lunch or consider packing your own lunch. It's tough when costs add up unexpectedly like that.",doctor-0125,"Wow, that was really generous of you!",att-defA,to the left
Sasha extended Skylar's seats at her expense so that everyone could enjoy the show in comfort.,[Speaker 1] You should have these tickets Skylar.<br>[Speaker 2] Thank you Sasha you are such a good friend.<br>[Speaker 1] I just hope you and your family can enjoy the show from a good seat.,doctor-0125,"I'm sure we will, thanks to your generosity.",chatgpt-35-latentselection-0125,"That's so kind of you, Sasha. I'll make sure to get there early so we can enjoy the show together from the best seats. Thank you again for thinking of me!",att-defB,to the right
Aubrey leant towards lee and told them a secret that they were not supposed to tell.,[Speaker 1] I love to gossip.<br>[Speaker 2] That's fine as long you are not talking about me.<br>[Speaker 1] I wasn't talking about you but I had something that I wanted to tell Lee.<br>[Speaker 2] Something confidential?<br>[Speaker 1] I leaned towards Lee with a secret that we were not supposed to tell.,doctor-0125,What kind of secret are we talking about here?,chatgpt-35-latentselection-0125,"I'm not sure if that's a good idea. It's important to respect each other's privacy and boundaries when it comes to sharing personal information, don't you think?",att-defB,to the right
ash tossed the leftover bones aside for the dog so that the dog could have a treat.,[Speaker 1] I'll take these leftover bones outside.<br>[Speaker 2] What are you doing with them?<br>[Speaker 1] I'm tossing them out for the dog.,chatgpt-35-latentselection-0125,That's thoughtful of you. I'm sure the dog will appreciate the treat!,doctor-0125,"Oh, does the dog enjoy the bones?",att-defA,to the left
Tracy thought they left the oven on. Tracy quickly rushed home.,[Speaker 1] I'm sorry I'm late. I had to go back home because I thought I left the oven on.,doctor-0125,"No problem, did everything turn out okay with the oven?",chatgpt-35-latentselection-0125,"It's good that you went back to check. It's better to be safe than sorry, especially when dealing with things like the oven.",att-defB,to the right
"Kaia had never been fishing before, so Remy baited Kai's hook.","[Speaker 1] Do you know how to bait the hook?<br>[Speaker 2] No, this is my first time fishing. Looks hard to bait it.<br>[Speaker 1] It's easy I'll do it for you right now just watch me so you can learn.",doctor-0125,"Thanks, I appreciate the help.",chatgpt-35-latentselection-0125,Thanks for showing me how to bait the hook. I appreciate you teaching me something new!,att-defB,to the right
"Ash wasn't just being reprimanded by the parents for being so reckless, Sydney also gave Ash hell.","[Speaker 1] I cannot believe Ash's got away with it, his parents were so angry with him!",chatgpt-35-latentselection-0125,That does sound frustrating. What exactly did Ash do that got his parents so upset?,doctor-0125,"Wow, I had no idea Ash's parents were upset about that.",att-defA,to the left
Riley works in a pharmaceutical company. There was a seminar to present new drugs. Riley prepared for the reception after the seminar.,[Speaker 1] That seminar about the new drugs was so boring.<br>[Speaker 2] Well at least it's time for the reception.<br>[Speaker 1] I want to change my clothes and fix my makeup.,chatgpt-35-latentselection-0125,I hope you have something nice to wear! How about we both freshen up and head over to the reception together? It'll be more fun that way!,doctor-0125,Sounds like a plan. Let's head to the reception.,att-defA,to the left
Taylor has taken up himself to ensure Kai study properly thus increasing his efficiency at school.,[Speaker 1] Taylore has really beenstrictt on me when it comes to my studies.<br>[Speaker 2] I think he just wants to see you do well.<br>[Speaker 1] I understand. But sometimes it gets a little tiring.<br>[Speaker 2] How has your grades been?<br>[Speaker 1] My efficiency at school has increased.,doctor-0125,That's great to hear! Keep up the good work.,chatgpt-35-latentselection-0125,It's great to hear that your efficiency at school has increased. Taylore's strictness must be paying off then. Have you found any study techniques that have been really helpful for you?,att-defB,to the right
